"ID","è≥ë¯",S1TTL,S2TTL,S3TTL,S4TTL,S5TTL,S6TTL,STTL,101,102,103,104,105,111,112,113,114,115,116,117,118,119,1110,1111,1112,1113,1114,1115,1116,1117,1118,1119,1120,1121,1122,1123,1124,1125,1126,1127,1128,1129,1131,1132,1133,1135,1136,1137,1138,1139,1140,1141,1142,1143,1144,1145,1146,1147,1148,1149,1150,1151,P1TTL,P2TTL,P3TTL,P4TTL,P5TTL,P6TTL,PTTL,201,202,203,204,205,206,207,208,211,212,214,219,O1TTL,O2TTL,O3TTL,O4TTL,O5TTL,O6TTL,OTTL,301,302,303,1111,1121,2111,2131,3111,3131,4111,4121,4131,5111,5121,6111,6121
22-07-0003-05,1.00,8.0,9.0,10.0,21.0,15.0,14.0,77.0,1.78,0,0,0,0.45,2,5,193,165,70.1,1,1,1,1,2,2,2,2,2,1,42,65.3,9.6,24,0,24,3,1,2,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,1,0,0,0,2247,520,1055,0,0,0,19.0,10.8,7.8,20.8,8.8,21.2,88.4,16.4,4,1.2,77.6,0,30,1,1,2.2,2,2.6,0,5.2,5.7,1.9,8.0,5.4,4.9,31.2,66.655172413793,1.3448275862069,6.3103448275862,2.55,2.69,2.86,2.86,1.31,0.62,2.48,2.90,2.62,2.69,2.72,2.59,2.34
22-07-0003-06,1.00,6.0,10.0,10.0,20.0,16.0,14.0,76.0,6.79,0,0,25.47,1.7,2,6,226,193,70.8,1,2,1,1,2,2,2,2,2,5,30,29.2,10.7,17,0,17,2,2,2,2,1,1,1,2,1,2,1,2,2,2,1,2,2,2,1,45,0,0,589,190,343,0,0,0,21.0,15.4,10.0,20.4,8.8,22.4,98.0,19,8.8,1.6,1675.2,0,156,1,1,3,3,3.2,0,5.5,5.8,1.5,7.8,5.6,6.0,32.2,57.181818181818,1.1818181818182,9.5454545454545,3.00,2.45,3.00,2.82,1.09,0.36,2.64,2.73,2.45,2.82,2.82,3.00,3.00
22-14-0001-01,1.00,7.0,10.0,5.0,20.0,20.0,13.0,75.0,3.53,0,1.18,3.53,5.29,4,5,367,232,79.1,1,2,1,2,1,2,2,2,2,1,34,79.2,20.3,19.6,0,19,4.8,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,1,0,0,6.1,1701,640,536,0,0,0,15.4,7.8,6.6,11.8,6.2,18.4,66.2,4.2,2.6,1.6,79.2,0,37,1,1.2,3.8,3.2,3.4,0,4.6,5.2,3.8,7.5,5.1,5.2,31.4,50.925925925926,1.1111111111111,13.148148148148,2.44,2.19,2.59,2.59,1.85,1.93,2.37,2.59,2.56,2.44,2.63,2.78,2.44
22-14-0001-02,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,10.0,8.6,18.0,9.2,19.6,82.2,8.4,4.2,2,80,0,33,1.4,1,3.4,3,3.6,0,5.6,5.8,3.4,8.0,5.2,5.6,33.6,56.068965517241,1.448275862069,12.586206896552,2.97,2.66,2.86,2.90,2.00,1.38,2.62,2.72,2.69,2.62,2.62,2.86,2.69
22-14-0001-03,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,7.0,6.0,12.5,10.5,21.0,74.0,11.5,6.5,1.5,71.5,0,17.5,1.5,1,3.5,3,3,0,5.0,5.5,3.3,7.2,5.1,5.0,31.2,66.384615384615,1.3076923076923,9.6923076923077,2.54,2.46,2.85,2.65,1.81,1.50,2.15,2.58,2.50,2.50,2.58,2.62,2.42
22-14-0001-04,1.00,5.0,9.0,5.0,17.0,21.0,12.0,69.0,3.72,0.37,0.76,0,0,4,5,367,232,79.1,1,2,1,2,1,2,2,2,2,1,50,87.7,13.5,28,0,28,2,1,1,2,1,2,1,1,1,2,1,1,2,2,2,2,2,2,1,32.3,5.4,5.4,2691,425,938,0,0,0,13.5,12.2,8.5,17.5,7.2,16.2,75.2,2.5,2.5,1.25,84,0,20,1.5,1.25,3.5,3.25,3.75,0,5.5,5.4,3.8,7.2,4.8,5.6,32.2,69.56,1.28,9.64,2.76,2.72,2.84,2.56,1.76,2.00,2.08,2.60,2.56,2.44,2.32,2.92,2.68
22-14-0001-05,1.00,5.0,8.0,9.0,14.0,16.0,6.0,58.0,5.39,0.34,0,0,4.05,4,5,300,200,83,1,1,1,2,2,2,2,2,2,8,60,85,30,28,0,25,10,1,1,6,1,1,1,1,1,4,1,2,2,2,2,2,2,1,1,0,0,0,2966,529,1790,0,0,0,,,,,,,,,,,,,,,,,,,,4.6,5.2,3.7,6.6,4.5,4.3,28.8,63.888888888889,1.2222222222222,30,2.19,2.41,2.74,2.44,1.81,1.85,2.00,2.26,2.30,2.00,2.48,2.37,1.96
22-14-0001-06,1.00,5.0,10.0,4.0,11.0,15.0,11.0,56.0,5.13,3.67,2.2,2.2,5.13,4,5,344,229,79,1,2,1,1,1,2,2,2,2,1,33,88,12.5,22,0,21,4.5,1,1,5,1,2,1,2,1,2,1,1,2,2,2,2,2,2,1,29.7,0,0,1364,562,400,0,0,0,9.5,5.0,5.8,15.5,8.5,20.0,64.2,5.5,4,1.75,70.75,0,35,2,1.75,2.5,3,3.25,0,5.5,5.5,4.9,7.9,5.2,5.5,34.3,64.076923076923,1.5,12.730769230769,2.73,2.73,2.73,2.73,2.35,2.54,2.73,2.54,2.62,2.50,2.65,2.81,2.69
22-14-0001-07,1.00,7.0,10.0,5.0,16.0,19.0,13.0,70.0,0,0,0,0,2.57,4,5,367,232,0,1,2,1,2,1,2,2,2,2,3,8,84.6,19.6,13,0,13,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,0,0,7.5,389,271,27,0,0,0,13.4,10.2,7.4,19.0,8.6,19.6,78.2,8.56,1.36,1,66.8,0,54,1,1,2,2,2.6,0,6.0,6.0,5.0,9.0,5.7,5.0,36.7,40.333333333333,1,1,3.00,3.00,3.00,3.00,2.00,3.00,3.00,3.00,3.00,2.67,3.00,3.00,2.00
22-14-0001-08,1.00,7.0,9.0,5.0,14.0,22.0,13.0,70.0,5.43,0,0,7.25,27.17,4,5,367,232,79.1,1,2,1,2,1,2,2,2,2,3,9,95,22.5,14,0,14,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,34.3,6.4,7.6,29,192,200,0,0,0,18.0,8.8,4.8,21.0,9.8,17.5,79.8,15.75,4,1,68.25,0,31.25,1,1,2.75,3.5,3.25,0,5.5,5.5,5.5,7.5,5.0,5.5,34.5,55,1,20.5,3.00,2.50,3.00,2.50,2.50,3.00,2.50,2.50,2.50,2.50,2.50,3.00,2.50
22-14-0001-09,1.00,5.0,9.0,12.0,16.0,20.0,13.0,75.0,3.1,6.2,4.14,6.2,3.1,4,5,367,232,79.1,1,2,1,1,2,2,2,2,1,2,20,82.1,19.6,13.5,0,13,2,1,1,1,1,1,1,1,1,4,1,1,1,2,2,2,2,2,1,38.6,8,7.6,18,558,405,0,0,0,20.0,16.3,13.3,24.0,8.3,19.3,101.3,16.666666666667,8.4333333333333,1,71.333333333333,0,58.333333333333,1.3333333333333,1,2.3333333333333,2,2,0,5.1,5.6,4.6,7.3,4.7,5.2,32.5,65.5,1.6111111111111,71.944444444444,2.56,2.50,2.89,2.67,2.28,2.33,2.39,2.50,2.44,2.33,2.39,2.72,2.50
22-14-0001-10,1.00,7.0,9.0,5.0,18.0,18.0,10.0,67.0,3.17,0,0,0,2.64,4,5,367,232,79.1,1,2,1,2,2,2,2,2,1,7,38,79.5,130.9,16,0,16,4.7,1,1,4,1,1,1,1,1,3,1,2,2,2,2,2,1,2,1,34.8,7.6,7.6,1894,98,1385,0,0,0,22.2,15.4,9.8,22.2,9.2,19.2,98.0,12,2.6,1.4,79.4,0,42,1,1,2.6,2.6,2.8,0,,,,,,,,,,
22-14-0006-01,0.83,5.0,9.0,11.0,18.0,17.0,11.0,71.0,0.69,0,1.39,0,0,4,2,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,11.2,10.8,23.4,8.2,21.6,93.2,6,4.4,1.6,10.8,0,52,1,1,1.4,2,2.4,0,5.7,5.7,3.1,8.0,4.5,5.6,32.6,17.97619047619,1.5714285714286,4.8809523809524,2.88,2.83,2.90,2.83,2.40,0.67,2.62,2.67,2.74,2.19,2.33,2.74,2.83
22-14-0006-02,1.00,6.0,10.0,12.0,24.0,13.0,12.0,77.0,0,0,0,0,0,4,5,372,301,93.3,2,2,1,2,1,1,2,2,2,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2,16.0,9.4,20.8,7.6,21.4,94.4,20.2,6,2,37,0,75,1,1.4,1.8,1.4,1.8,0,5.6,5.7,1.2,8.3,4.7,5.4,30.8,33.441860465116,2,9.3488372093023,2.91,2.67,2.86,2.81,1.09,0.07,2.81,2.67,2.79,2.30,2.44,2.74,2.63
